location[0],location[1],state,age,now_phagocytose,max_phagocytose,CSF1R,trans,trans_num,rest_time,life_span,b_C,b_CI,b_G
69,58,M2,140.736,0,2,1,0,5,0,720,0.675,0.45,0.137904
36,28,M2,469.192,0,2,1,1,5,0,720,0.675,0.45,0.137904
13,49,M2,226.928,0,2,1,1,3,0,720,0.675,0.45,0.137904
19,91,M2,232.091,0,2,1,1,2,0,720,0.675,0.45,0.137904
23,46,M2,696.824,0,2,1,1,3,0,720,0.675,0.45,0.137904
84,79,M2,250.11,0,2,1,1,2,0,720,0.675,0.45,0.137904
68,46,M2,128.355,1,2,1,0,6,0,720,0.675,0.45,0.137904
9,38,M2,288.636,0,2,1,1,3,0,720,0.675,0.45,0.137904
72,32,M2,619.817,0,2,1,1,5,0,720,0.675,0.45,0.137904
51,17,M2,575.506,0,2,1,1,3,0,720,0.675,0.45,0.137904
16,57,M2,265.041,0,2,1,1,2,0,720,0.675,0.45,0.137904
58,31,M1,354.455,2,2,1,0,2,4,720,0.675,0.45,0.137904
63,34,M2,244.557,0,2,1,0,3,0,720,0.675,0.45,0.137904
27,94,M2,589.944,0,2,1,1,0,0,720,0.675,0.45,0.137904
80,43,M2,652.563,0,2,1,1,6,0,720,0.675,0.45,0.137904
31,37,M2,406.877,0,2,1,1,1,0,720,0.675,0.45,0.137904
73,75,M2,356.952,0,2,1,1,2,0,720,0.675,0.45,0.137904
82,25,M2,547.248,0,2,1,1,4,0,720,0.675,0.45,0.137904
66,98,M2,244.207,0,2,1,1,6,0,720,0.675,0.45,0.137904
36,32,M2,192.944,0,2,1,0,0,0,720,0.675,0.45,0.137904
26,81,M2,225.64,0,2,1,1,6,0,720,0.675,0.45,0.137904
23,27,M2,207.139,0,2,1,1,2,0,720,0.675,0.45,0.137904
77,96,M2,200.667,0,2,1,1,1,0,720,0.675,0.45,0.137904
38,73,M2,305.926,0,2,1,1,2,0,720,0.675,0.45,0.137904
7,14,M2,546.847,0,2,1,1,1,0,720,0.675,0.45,0.137904
30,95,M2,309.374,0,2,1,1,3,0,720,0.675,0.45,0.137904
86,48,M2,126.95,0,2,1,1,3,0,720,0.675,0.45,0.137904
14,44,M2,370.423,0,2,1,1,0,0,720,0.675,0.45,0.137904
8,64,M2,589.264,0,2,1,1,5,0,720,0.675,0.45,0.137904
70,46,M2,129.476,0,2,1,1,6,0,720,0.675,0.45,0.137904
34,14,M2,150.335,0,2,1,1,1,0,720,0.675,0.45,0.137904
77,14,M2,267.646,0,2,1,1,0,0,720,0.675,0.45,0.137904
90,30,M2,136.029,0,2,1,1,6,0,720,0.675,0.45,0.137904
5,60,M2,639.759,0,2,1,1,3,0,720,0.675,0.45,0.137904
33,82,M2,525.035,0,2,1,1,4,0,720,0.675,0.45,0.137904
52,86,M1,704.643,0,2,1,1,6,0,720,0.675,0.45,0.137904
4,70,M2,225.903,0,2,1,1,1,0,720,0.675,0.45,0.137904
34,31,M2,173.064,0,2,1,0,4,0,720,0.675,0.45,0.137904
85,12,M2,251.912,0,2,1,1,5,0,720,0.675,0.45,0.137904
20,23,M2,606.157,0,2,1,1,4,0,720,0.675,0.45,0.137904
3,46,M2,233.079,0,2,1,1,3,0,720,0.675,0.45,0.137904
1,98,M2,582.308,0,2,1,1,6,0,720,0.675,0.45,0.137904
16,89,M2,406.329,0,2,1,1,5,0,720,0.675,0.45,0.137904
69,59,M2,587.864,0,2,1,0,0,0,720,0.675,0.45,0.137904
29,42,M2,342.635,0,2,1,0,6,0,720,0.675,0.45,0.137904
29,9,M2,574.321,0,2,1,1,4,0,720,0.675,0.45,0.137904
75,84,M2,584.944,0,2,1,1,3,0,720,0.675,0.45,0.137904
16,16,M2,300.647,0,2,1,1,6,0,720,0.675,0.45,0.137904
43,70,M2,465.053,0,2,1,1,3,0,720,0.675,0.45,0.137904
15,3,M2,519.62,0,2,1,1,5,0,720,0.675,0.45,0.137904
92,9,M2,598.43,0,2,1,1,4,0,720,0.675,0.45,0.137904
68,45,M2,519.606,0,2,1,1,6,0,720,0.675,0.45,0.137904
28,46,M2,576.134,0,2,1,0,5,0,720,0.675,0.45,0.137904
31,95,M1,222.877,0,2,1,1,1,0,720,0.675,0.45,0.137904
91,5,M2,546.411,0,2,1,1,3,0,720,0.675,0.45,0.137904
57,31,M2,354.597,0,2,1,0,5,0,720,0.675,0.45,0.137904
5,33,M2,323.78,0,2,1,1,2,0,720,0.675,0.45,0.137904
71,52,M2,644.343,0,2,1,0,2,0,720,0.675,0.45,0.137904
20,21,M2,629.154,0,2,1,1,5,0,720,0.675,0.45,0.137904
88,62,M2,376.364,0,2,1,1,1,0,720,0.675,0.45,0.137904
57,87,M2,573.824,0,2,1,1,2,0,720,0.675,0.45,0.137904
55,87,M2,161.923,0,2,1,1,0,0,720,0.675,0.45,0.137904
23,34,M2,585.462,0,2,1,1,2,0,720,0.675,0.45,0.137904
46,15,M2,599.741,0,2,1,1,6,0,720,0.675,0.45,0.137904
90,91,M2,653.901,0,2,1,1,2,0,720,0.675,0.45,0.137904
50,24,M2,209.341,0,2,1,1,1,0,720,0.675,0.45,0.137904
63,92,M1,197.762,0,2,1,1,6,0,720,0.675,0.45,0.137904
27,61,M1,528.634,0,2,1,1,1,0,720,0.675,0.45,0.137904
68,49,M1,548.547,2,2,1,0,2,10.5,720,0.675,0.45,0.137904
13,25,M2,515.804,0,2,1,1,2,0,720,0.675,0.45,0.137904
95,81,M2,416.036,0,2,1,1,4,0,720,0.675,0.45,0.137904
43,92,M2,163.345,0,2,1,1,1,0,720,0.675,0.45,0.137904
40,3,M2,181.148,0,2,1,1,2,0,720,0.675,0.45,0.137904
29,54,M2,589.25,0,2,1,0,1,0,720,0.675,0.45,0.137904
98,98,M2,258.117,0,2,1,1,3,0,720,0.675,0.45,0.137904
94,18,M2,225.837,0,2,1,1,6,0,720,0.675,0.45,0.137904
76,15,M2,350.729,0,2,1,1,6,0,720,0.675,0.45,0.137904
90,8,M2,646.493,0,2,1,1,0,0,720,0.675,0.45,0.137904
6,21,M2,458.376,0,2,1,1,2,0,720,0.675,0.45,0.137904
75,96,M2,191.313,0,2,1,1,1,0,720,0.675,0.45,0.137904
10,10,M2,200.362,0,2,1,1,3,0,720,0.675,0.45,0.137904
92,33,M2,342.774,0,2,1,1,6,0,720,0.675,0.45,0.137904
15,86,M2,363.209,0,2,1,1,6,0,720,0.675,0.45,0.137904
7,78,M2,594.009,0,2,1,1,0,0,720,0.675,0.45,0.137904
45,17,M2,184.962,0,2,1,1,3,0,720,0.675,0.45,0.137904
94,44,M2,668.87,0,2,1,1,0,0,720,0.675,0.45,0.137904
1,20,M2,182.365,0,2,1,1,5,0,720,0.675,0.45,0.137904
53,9,M2,77.9821,0,2,1,1,3,0,720,0.675,0.45,0.137904
6,20,M2,515.015,0,2,1,1,6,0,720,0.675,0.45,0.137904
46,96,M2,412.175,0,2,1,1,4,0,720,0.675,0.45,0.137904
7,69,M2,92.8378,0,2,1,1,0,0,720,0.675,0.45,0.137904
17,18,M2,304.56,0,2,1,1,2,0,720,0.675,0.45,0.137904
30,5,M2,327.8,0,2,1,1,3,0,720,0.675,0.45,0.137904
3,20,M2,359.64,0,2,1,1,0,0,720,0.675,0.45,0.137904
95,43,M2,500.207,0,2,1,1,5,0,720,0.675,0.45,0.137904
95,14,M2,311.464,0,2,1,1,4,0,720,0.675,0.45,0.137904
98,17,M2,520.264,0,2,1,1,5,0,720,0.675,0.45,0.137904
7,27,M2,328.048,0,2,1,1,5,0,720,0.675,0.45,0.137904
3,25,M2,710.224,0,2,1,1,1,0,720,0.675,0.45,0.137904
31,89,M2,167.76,0,2,1,1,6,0,720,0.675,0.45,0.137904
90,3,M2,347.638,0,2,1,1,0,0,720,0.675,0.45,0.137904
80,82,M2,501.423,0,2,1,1,6,0,720,0.675,0.45,0.137904
60,93,M2,657.289,0,2,1,1,4,0,720,0.675,0.45,0.137904
96,8,M2,259.615,0,2,1,1,2,0,720,0.675,0.45,0.137904
76,35,M2,306.875,0,2,1,1,0,0,720,0.675,0.45,0.137904
18,97,M2,674.215,0,2,1,1,0,0,720,0.675,0.45,0.137904
37,10,M2,608.427,0,2,1,1,2,0,720,0.675,0.45,0.137904
73,29,M2,524.202,0,2,1,1,2,0,720,0.675,0.45,0.137904
9,34,M2,61.6015,0,2,1,1,1,0,720,0.675,0.45,0.137904
7,64,M2,85.9024,0,2,1,1,3,0,720,0.675,0.45,0.137904
57,92,M2,515.803,0,2,1,1,4,0,720,0.675,0.45,0.137904
91,59,M2,54.8866,0,2,1,1,4,0,720,0.675,0.45,0.137904
92,69,M2,314.615,0,2,1,1,1,0,720,0.675,0.45,0.137904
36,7,M2,322.25,0,2,1,1,3,0,720,0.675,0.45,0.137904
64,98,M2,718.384,0,2,1,1,5,0,720,0.675,0.45,0.137904
23,8,M1,599.623,0,2,1,1,1,0,720,0.675,0.45,0.137904
91,8,M2,694.552,0,2,1,1,0,0,720,0.675,0.45,0.137904
16,38,M2,594.943,0,2,1,1,4,0,720,0.675,0.45,0.137904
69,2,M2,601.077,0,2,1,1,5,0,720,0.675,0.45,0.137904
6,36,M2,159.029,0,2,1,1,6,0,720,0.675,0.45,0.137904
48,84,M2,366.292,0,2,1,1,3,0,720,0.675,0.45,0.137904
82,4,M2,565.19,0,2,1,1,5,0,720,0.675,0.45,0.137904
12,87,M2,580.822,0,2,1,1,6,0,720,0.675,0.45,0.137904
65,89,M2,97.3674,0,2,1,1,5,0,720,0.675,0.45,0.137904
76,26,M2,227.338,0,2,1,1,0,0,720,0.675,0.45,0.137904
77,55,M2,253.139,0,2,1,1,1,0,720,0.675,0.45,0.137904
18,27,M2,173.98,0,2,1,1,0,0,720,0.675,0.45,0.137904
95,31,M2,537.843,0,2,1,1,2,0,720,0.675,0.45,0.137904
6,78,M2,325.417,0,2,1,1,5,0,720,0.675,0.45,0.137904
8,74,M2,102.999,0,2,1,1,2,0,720,0.675,0.45,0.137904
70,97,M2,337.52,0,2,1,1,6,0,720,0.675,0.45,0.137904
97,1,M2,143.243,0,2,1,1,6,0,720,0.675,0.45,0.137904
86,84,M2,684.889,0,2,1,1,0,0,720,0.675,0.45,0.137904
