location[0],location[1],state,age,now_phagocytose,max_phagocytose,CSF1R,trans,trans_num,rest_time,life_span,b_C,b_CI,b_G
33,81,M2,217.136,0,2,1,1,4,0,720,0.675,0.45,0.137904
8,66,M2,656.481,0,2,1,1,5,0,720,0.675,0.45,0.137904
72,9,M2,701.419,0,2,1,1,4,0,720,0.675,0.45,0.137904
78,51,M2,680.722,0,2,1,1,3,0,720,0.675,0.45,0.137904
96,81,M2,649.632,0,2,1,1,4,0,720,0.675,0.45,0.137904
26,95,M2,479.233,0,2,1,1,2,0,720,0.675,0.45,0.137904
83,46,M2,484.337,0,2,1,1,3,0,720,0.675,0.45,0.137904
2,91,M2,344.694,0,2,1,1,4,0,720,0.675,0.45,0.137904
93,64,M2,212.533,0,2,1,1,4,0,720,0.675,0.45,0.137904
49,24,M2,638.184,0,2,1,1,0,0,720,0.675,0.45,0.137904
89,93,M2,232.053,0,2,1,1,1,0,720,0.675,0.45,0.137904
82,93,M2,82.458,0,2,1,1,0,0,720,0.675,0.45,0.137904
12,11,M2,686.151,0,2,1,1,1,0,720,0.675,0.45,0.137904
77,10,M2,145.212,0,2,1,1,3,0,720,0.675,0.45,0.137904
