location[0],location[1],index,state,age,if_migra,mature,div_time,maxDiv,nDiv,cell_cycle,life_span,prob,prob_0,EGFR,IGF1R,AKT,ERK,a_ERK,a_AKT,GSK3b,IRF1,Gal9,pten
51,45,67,quiescent,36,24,14,17.5,8,1,14,192,1,0.150641,0.206618,0.227153,0.847118,0.845416,7.15,44,0.542698,0.602151,0.678342,0
45,52,68,quiescent,36.5,25,14,15,8,1,14,192,1,0.150629,0.206498,0.226467,0.846977,0.84532,7.15,44,0.542674,0.602126,0.678312,0
49,54,69,quiescent,72.5,1,14,22.5,8,3,14,192,1,0.150649,0.206622,0.227572,0.847199,0.845474,7.15,44,0.542716,0.602171,0.678376,0
47,46,70,quiescent,37,26,14,18.5,8,1,14,192,1,0.150627,0.206535,0.226279,0.846945,0.845294,7.15,44,0.542669,0.60212,0.678301,0
45,49,71,quiescent,40.5,33,14,25.5,8,1,14,192,1,0.150623,0.206486,0.226076,0.846902,0.845266,7.15,44,0.54266,0.60211,0.678289,0
45,47,72,quiescent,33.5,19,14,15.5,8,1,14,192,1,0.150628,0.206553,0.226368,0.84696,0.845307,7.15,44,0.542671,0.602122,0.678306,0
51,53,73,quiescent,30.5,13,14,14.5,8,1,14,192,1,0.15065,0.206631,0.227679,0.84722,0.845488,7.15,44,0.542718,0.602174,0.678379,0
44,50,74,quiescent,31,14,14,14.5,8,1,14,192,1,0.150627,0.206508,0.226339,0.846953,0.845303,7.15,44,0.542668,0.602119,0.678302,0
49,53,75,quiescent,14,28,14,14,8,0,14,192,1,0.150639,0.206556,0.227028,0.847092,0.845398,7.15,44,0.542696,0.60215,0.678346,0
47,47,76,quiescent,18.5,37,14,18.5,8,0,14,192,1,0.150622,0.206491,0.226024,0.846894,0.845259,7.15,44,0.542659,0.60211,0.678287,0
46,47,77,quiescent,30,12,14,15.5,8,1,14,192,1,0.150624,0.206515,0.226141,0.846916,0.845275,7.15,44,0.542663,0.602114,0.678293,0
44,47,78,quiescent,50.5,5,14,15,8,2,14,192,1,0.150634,0.206605,0.226711,0.847027,0.845355,7.15,44,0.542682,0.602135,0.678324,0
50,45,79,quiescent,41.5,35,14,23.5,8,1,14,192,1,0.150637,0.206589,0.226862,0.847061,0.845375,7.15,44,0.542688,0.602141,0.678328,0
53,52,80,quiescent,36,24,14,14,8,1,14,192,1,0.150662,0.20671,0.22835,0.84735,0.845581,7.15,44,0.54274,0.602197,0.678413,0
