location[0],location[1],index,state,age,if_migra,mature,div_time,maxDiv,nDiv,cell_cycle,life_span,prob,prob_0,EGFR,IGF1R,AKT,ERK,a_ERK,a_AKT,GSK3b,IRF1,Gal9,pten
58,50,251,quiescent,129.5,19,14,60,8,2,14,192,1,0.0226934,0.203983,0.235776,0.270048,0.883189,7.15,44,0.34104,0.420972,0.298327,1
44,57,254,quiescent,46.5,45,14,29,8,1,14,192,1,0.0226805,0.203939,0.234848,0.269768,0.883096,7.15,44,0.340931,0.420912,0.298304,1
42,55,257,quiescent,130,20,14,130,8,0,14,192,1,0.0226775,0.203821,0.234531,0.269703,0.883063,7.15,44,0.340912,0.420902,0.298295,1
57,51,259,quiescent,30,12,14,30,8,0,14,192,1,0.0227022,0.204097,0.236553,0.270239,0.883267,7.15,44,0.341132,0.421023,0.298416,1
41,48,269,quiescent,72.5,1,14,58.5,8,1,14,192,1,0.0226571,0.203399,0.232878,0.26926,0.882898,7.15,44,0.340689,0.420777,0.298058,1
43,58,274,quiescent,41.5,35,14,26.5,8,1,14,192,1,0.0226854,0.203998,0.235207,0.269873,0.883131,7.15,44,0.341011,0.420958,0.298426,1
41,58,275,quiescent,70.5,45,14,14,8,2,14,192,1,0.0226944,0.204048,0.235834,0.27007,0.883192,7.15,44,0.34116,0.421043,0.298639,1
58,52,276,quiescent,69,42,14,69,8,0,14,192,1,0.0227078,0.204191,0.236946,0.270361,0.883305,7.15,44,0.341231,0.42108,0.298562,1
44,59,277,quiescent,99,6,14,63,8,2,14,192,1,0.0226892,0.204082,0.235565,0.269957,0.883167,7.15,44,0.341058,0.420985,0.298486,1
43,59,279,quiescent,70,44,14,54.5,8,1,14,192,1,0.0226894,0.204065,0.23554,0.26996,0.883164,7.15,44,0.341071,0.420992,0.298513,1
41,45,280,quiescent,130.5,21,14,53.5,8,3,14,192,1,0.0226539,0.203295,0.23272,0.26919,0.882884,7.15,44,0.340656,0.42076,0.298049,1
41,47,281,quiescent,29.5,11,14,29.5,8,0,14,192,1,0.0226546,0.203349,0.232705,0.269207,0.882881,7.15,44,0.340661,0.420762,0.298032,1
40,54,284,quiescent,168,0,14,134,8,2,14,192,1,0.0226921,0.203893,0.235576,0.270019,0.883165,7.15,44,0.341153,0.42104,0.298632,1
40,47,287,quiescent,66,36,14,18,8,1,14,192,1,0.0226623,0.203406,0.233265,0.269374,0.882936,7.15,44,0.340795,0.420839,0.298233,1
41,54,293,quiescent,82,20,14,47.5,8,1,14,192,1,0.0226815,0.203811,0.234795,0.269791,0.883089,7.15,44,0.340988,0.420946,0.298406,1
42,59,296,quiescent,120,0,14,28,8,2,14,192,1,0.0226924,0.204076,0.235737,0.270027,0.883183,7.15,44,0.341122,0.421022,0.298587,1
39,48,301,quiescent,58.5,21,14,28,8,1,14,192,1,0.0226746,0.203532,0.234149,0.269642,0.883022,7.15,44,0.340986,0.420948,0.298493,1
40,58,311,quiescent,62.5,29,14,20,8,1,14,192,1,0.0227027,0.204107,0.236436,0.270251,0.883251,7.15,44,0.341289,0.421118,0.298818,1
41,56,311,quiescent,33.5,19,14,33.5,8,0,14,192,1,0.022688,0.20393,0.23531,0.269931,0.88314,7.15,44,0.34107,0.420992,0.29851,1
40,55,313,quiescent,133,26,14,57.5,8,2,14,192,1,0.0226946,0.203947,0.235783,0.270075,0.883186,7.15,44,0.341183,0.421058,0.298671,1
40,56,313,quiescent,96,0,14,78.5,8,1,14,192,1,0.0226973,0.204,0.235993,0.270134,0.883207,7.15,44,0.341216,0.421076,0.298712,1
40,53,313,quiescent,141.5,43,14,37.5,8,2,14,192,1,0.0226894,0.203838,0.235367,0.269963,0.883144,7.15,44,0.341124,0.421024,0.298599,1
41,46,314,quiescent,46.5,45,14,46.5,8,0,14,192,1,0.0226534,0.203313,0.232646,0.269181,0.882876,7.15,44,0.34065,0.420756,0.29803,1
41,57,316,quiescent,23,46,14,23,8,0,14,192,1,0.0226912,0.203989,0.235566,0.27,0.883165,7.15,44,0.341114,0.421018,0.298572,1
45,59,317,quiescent,186,36,14,168,8,1,14,192,1,0.0226922,0.204126,0.235824,0.270021,0.883193,7.15,44,0.341089,0.421002,0.298513,1
48,60,322,quiescent,103,14,14,87.5,8,1,14,192,1,0.0227236,0.204483,0.238387,0.270701,0.883447,7.15,44,0.341487,0.421227,0.298988,1
40,46,327,quiescent,56,16,14,36.5,8,1,14,192,1,0.0226611,0.203374,0.233213,0.269347,0.882931,7.15,44,0.34078,0.42083,0.298224,1
41,59,329,quiescent,116.5,41,14,34,8,4,14,192,1,0.022698,0.204109,0.23613,0.270148,0.883221,7.15,44,0.34121,0.421072,0.29871,1
59,45,330,quiescent,142.5,45,14,51.5,8,3,14,192,1,0.0226908,0.203836,0.235513,0.269991,0.883162,7.15,44,0.34109,0.421003,0.298509,1
45,60,340,quiescent,47,46,14,47,8,0,14,192,1,0.0226973,0.204201,0.236244,0.270131,0.883235,7.15,44,0.341161,0.421043,0.298615,1
39,49,341,quiescent,85,26,14,28.5,8,2,14,192,1,0.0226795,0.203606,0.234518,0.269747,0.883058,7.15,44,0.341045,0.420981,0.298557,1
46,60,341,alive,77.5,11,14,20,8,2,14,192,0.00907127,0.022694,0.204254,0.236842,0.270052,0.883311,7.15,44,0.323355,0.410964,0.245093,1
38,47,348,quiescent,153,18,14,22.5,8,2,14,192,1,0.0226812,0.203557,0.234651,0.269784,0.883071,7.15,44,0.341117,0.421024,0.298708,1
48,59,348,quiescent,141.5,43,14,83.5,8,1,14,192,1,0.0227157,0.204383,0.237701,0.27053,0.883378,7.15,44,0.341409,0.421184,0.298916,1
45,41,349,quiescent,137,34,14,36.5,8,3,14,192,1,0.0226431,0.203113,0.231938,0.268955,0.882808,7.15,44,0.340471,0.420654,0.297788,1
59,51,350,quiescent,73.5,3,14,22.5,8,2,14,192,1,0.0227001,0.204082,0.23626,0.270193,0.883236,7.15,44,0.341141,0.42103,0.298459,1
39,47,352,quiescent,120,0,14,100.5,8,1,14,192,1,0.0226713,0.203475,0.233918,0.269569,0.882999,7.15,44,0.340948,0.420927,0.29846,1
39,50,351,quiescent,134.5,29,14,96.5,8,2,14,192,1,0.0226859,0.203696,0.235025,0.269887,0.883109,7.15,44,0.341126,0.421027,0.298648,1
39,57,352,quiescent,191.5,47,14,115,8,3,14,192,1,0.0227111,0.204139,0.23703,0.270434,0.883308,7.15,44,0.341424,0.421195,0.298999,1
39,58,356,quiescent,100.5,9,14,22.5,8,1,14,192,1,0.0227133,0.204187,0.237215,0.270481,0.883327,7.15,44,0.341453,0.421212,0.299047,1
